Age,Gender,1. Which device do you use the most during the day?  ,2. What is your average daily screen time (combining all devices e.g. 6.7)?  ,3. What is the longest you typically look at a screen WITHOUT taking a break?  ,4. At what distance do you usually hold/view your screen?,5. In what lighting condition do you mostly use your devices?  ,"6. Do you use ""Night Mode,"" ""Eye Comfort Shield,"" or ""Blue Light Filters""? ",7. Screen Position: Where is the top of your screen relative to your eyes?  ,8. Do your parents (father or mother) wear glasses for distance vision?  ,9. How many liters of water do you drink daily? (Hydration affects dry eyes)  ,10. Do you consciously try to blink often while using screens?  ,11. Do you currently wear spectacles (glasses) or contact lenses?  ,"12. How frequently do you experience symptoms like headache, dry eyes, or blurred vision after using devices?  "
22,Female,Smartphone,7,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
35,Female,Smartphone,3,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Rarely
45,Male,Laptop/Desktop,9,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
28,Male,Smartphone,4,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,No,Sometimes
32,Male,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Never
49,Male,Smartphone,4,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"No, never",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
31,Female,Laptop/Desktop,12,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
23,Female,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
48,Female,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
18,Male,Smartphone,6,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,Yes,No,Rarely
56,Female,Smartphone,2,30 to 60 mins,Very Close (< 30 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,No,Sometimes
34,Female,Smartphone,3,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
30,Male,Smartphone,2,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dark room (Lights off),"Yes, always",Lying down in bed (Variable),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Never
17,Male,Smartphone,8,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,Yes,Yes,Rarely
19,Female,Smartphone,4,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",Less than 1 Liter,Yes,Yes,Never
22,Female,Laptop/Desktop,12,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),No,1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
19,Male,Smartphone,7,1 to 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",Above eye level (Looking up),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Rarely
17,Female,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
40,Female,Smartphone,1,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Above eye level (Looking up),No,Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
20,Male,Smartphone,8,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
32,Male,Smartphone,2,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",Less than 1 Liter,No/ I don't pay attention,No,Sometimes
27,Female,Smartphone,5,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Rarely
23,Female,Smartphone,3,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,Yes,Rarely
24,Female,Laptop/Desktop,12,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),No,1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
20,Male,Smartphone,5,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
21,Male,Smartphone,4,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Rarely
